iter	RMSE
0	0.8871093257
1	0.886324155
2	0.8855891989
3	0.8849008669
4	0.8842580532
5	0.8836407066
6	0.8830671277
7	0.8825213937
8	0.8820158094
9	0.8815107475
10	0.8810547952
11	0.8806294727
12	0.8801877093
13	0.879794861
14	0.8794058719
15	0.879053409
16	0.8787081397
17	0.878355508
18	0.8779872742
19	0.8776670292
20	0.8773795026
21	0.8770565119
22	0.8767858635
23	0.8765326607
24	0.8762536778
25	0.8760039627
26	0.8757441776
27	0.8754881079
28	0.8752302896
29	0.8749607506
30	0.8747434148
31	0.8745002293
32	0.8742885128
33	0.8740561502
34	0.8738350504
35	0.8736222412
36	0.8734095292
37	0.8732088438
38	0.8730038988
39	0.8728181876
40	0.872599087
41	0.8723974316
42	0.8722061796
43	0.8720331771
44	0.8718453549
45	0.8716774343
46	0.8714877799
47	0.8712900517
48	0.8711293855
49	0.8709540013
50	0.8707635912
51	0.8705791221
52	0.8703987278
53	0.8702475103
54	0.8700814512
55	0.8699090365
56	0.8697370367
57	0.8695846186
58	0.8694134532
59	0.8692649104
60	0.8691064167
61	0.8689433613
62	0.8687982226
63	0.8686509611
64	0.8685247385
65	0.8683926873
66	0.868252068
67	0.868102839
68	0.8679642355
69	0.8678160447
70	0.8676859866
71	0.8675536952
72	0.8674220216
73	0.8672961456
74	0.8671630815
75	0.8670423114
76	0.8669298979
77	0.8668094709
78	0.8666954873
79	0.8665722104
80	0.8664649204
81	0.8663376278
82	0.8662278662
83	0.8661056127
84	0.865990108
85	0.8658814677
86	0.8657783408
87	0.8656773826
88	0.8655641149
89	0.8654556092
90	0.8653507764
91	0.8652480377
92	0.8651620302
93	0.8650657414
94	0.8649776084
95	0.8648777235
96	0.8647801608
97	0.8646720462
98	0.8645792796
99	0.8644913229
100	0.8643953736
101	0.8643094697
102	0.8642135756
103	0.8641245645
104	0.8640236768
105	0.8639343448
106	0.8638452296
107	0.8637649993
108	0.863687249
109	0.8636086625
110	0.8635269023
111	0.8634548986
112	0.8633662995
113	0.8632904741
114	0.8632087215
115	0.8631300914
116	0.8630537172
117	0.8629803916
118	0.8629121902
119	0.8628300244
120	0.8627644899
121	0.8626867627
122	0.8625996697
123	0.8625364576
124	0.8624488209
125	0.8623779352
126	0.8622973041
127	0.8622076044
128	0.8621405501
129	0.8620756051
130	0.8620100888
131	0.861936901
132	0.861862725
133	0.861800592
134	0.8617166959
135	0.861654628
136	0.8615771029
137	0.8615138913
138	0.861451053
139	0.8613698816
140	0.8613091492
141	0.8612427431
142	0.8611834759
143	0.8611008806
144	0.8610304888
145	0.860970413
146	0.8609003508
147	0.8608462784
