iter	Passed	Remaining
0	4	44092
1	8	40622
2	11	38072
3	14	36904
4	17	35599
5	21	35717
6	24	35252
7	27	34699
8	30	34394
9	34	34349
10	37	34300
11	40	34072
12	44	33872
13	47	33674
14	50	33570
15	53	33510
16	56	33447
17	60	33414
18	63	33435
19	67	33461
20	70	33421
21	73	33441
22	76	33399
23	80	33371
24	83	33330
25	86	33266
26	89	33220
27	93	33161
28	96	33149
29	99	33145
30	102	33047
31	106	33043
32	109	33021
33	112	33010
34	115	32974
35	118	32925
36	121	32845
37	125	32810
38	128	32761
39	131	32761
40	134	32751
41	138	32742
42	141	32771
43	144	32743
44	148	32848
45	151	32866
46	155	32851
47	158	32910
48	162	32908
49	165	32874
50	168	32851
51	171	32877
52	175	32885
53	178	32898
54	181	32899
55	185	32887
56	188	32939
57	192	32946
58	195	32938
59	198	32898
60	201	32902
61	205	32893
62	208	32883
63	211	32876
64	214	32847
65	218	32841
66	221	32822
67	224	32831
68	227	32808
69	231	32772
70	234	32763
71	237	32731
72	240	32712
73	243	32679
74	246	32646
75	249	32644
76	253	32626
77	256	32620
78	259	32580
79	262	32574
80	266	32590
81	269	32571
82	272	32546
83	275	32538
84	279	32544
85	282	32541
86	285	32515
87	288	32534
88	291	32505
89	295	32483
90	298	32459
91	300	32415
92	303	32371
93	306	32328
94	309	32294
95	312	32259
96	315	32230
97	318	32190
98	321	32155
99	324	32135
100	327	32144
101	330	32119
102	334	32100
103	336	32057
104	339	32035
105	342	32007
106	345	31978
107	348	31949
108	351	31921
109	354	31879
110	357	31851
111	360	31823
112	363	31795
113	366	31767
114	369	31728
115	372	31745
116	375	31729
117	378	31708
118	381	31673
119	384	31643
120	387	31663
121	390	31642
122	393	31619
123	396	31591
124	399	31571
125	402	31554
126	405	31538
127	408	31522
128	411	31508
129	414	31477
130	417	31466
131	420	31470
132	423	31454
133	427	31448
134	430	31431
135	433	31464
136	436	31447
137	439	31429
138	442	31415
139	445	31402
140	449	31399
141	452	31391
142	455	31373
143	458	31364
144	461	31351
145	464	31370
146	468	31380
147	471	31416
148	476	31507
149	479	31501
150	482	31486
151	485	31469
152	488	31453
153	491	31436
154	494	31438
155	497	31419
156	500	31406
157	503	31386
158	506	31367
159	509	31361
160	512	31347
161	515	31327
162	518	31310
163	521	31292
164	525	31295
165	528	31296
166	531	31278
167	534	31265
168	537	31254
169	540	31246
170	543	31231
171	546	31208
172	549	31191
173	552	31172
174	554	31155
175	557	31140
176	560	31121
177	563	31107
178	566	31088
179	569	31068
180	572	31064
181	575	31058
182	578	31050
183	581	31038
184	584	31032
185	588	31029
186	591	31028
187	594	31024
188	597	31009
189	600	30986
190	603	30972
191	606	30960
192	608	30942
193	611	30922
194	614	30902
195	617	30885
196	620	30871
197	623	30849
198	626	30840
199	629	30826
200	632	30814
201	635	30801
202	637	30789
203	640	30772
204	643	30756
205	646	30741
206	649	30738
207	652	30719
208	655	30701
209	658	30686
210	661	30668
211	664	30657
212	667	30648
213	669	30633
214	672	30627
215	675	30614
216	679	30612
217	682	30603
218	685	30601
219	688	30586
220	690	30570
221	694	30575
222	697	30563
223	699	30546
224	702	30530
225	705	30513
226	708	30503
227	711	30488
228	714	30484
229	717	30470
230	720	30454
231	723	30446
232	726	30437
233	729	30426
234	731	30416
235	734	30402
236	737	30393
